Industry,Employees,Cloud_Usage,Firewall_Installed,EDR_Installed,SIEM_Installed,MFA_Enabled,DLP_Enabled,Compliance_Requirement,Main_Threat_Concern,Security_Budget,Risk_Level,Recommended_Solution
Manufacturing,5000,None,No,No,Yes,No,No,HITRUST,Credential Theft,Medium,Medium,Threat Intelligence Platform
Government,2500,High,No,Yes,No,No,No,CMMC,Privilege Escalation,Very Low,Critical,CASB
Retail,2500,None,No,Yes,Yes,Yes,Yes,GDPR,Zero-Day Exploit,Medium,Medium,XDR Platform
Healthcare,1000,Medium,No,No,Yes,Yes,Yes,ISO27001,Insider Threat,Low,Medium,WAF
Logistics,5000,Very High,Yes,No,No,Yes,Yes,SOC2,Credential Theft,High,Critical,Attack Surface Management
Government,500,None,Yes,Yes,Yes,Yes,No,ISO27001,Credential Theft,High,Medium,PAM
Energy,5000,High,Yes,Yes,Yes,Yes,Yes,FedRAMP,Cryptojacking,Medium,Critical,ZTNA Solution
Energy,2500,High,No,No,Yes,Yes,No,NIST,Business Email Compromise,High,Critical,Vulnerability Management
Government,100,Very High,No,Yes,Yes,No,No,NIST,IoT Attack,Low,High,NAC
Transportation,2500,Medium,No,No,Yes,Yes,No,HIPAA,Web Application Attack,Very Low,Medium,IAM
Defense,250,Low,No,No,Yes,Yes,Yes,FISMA,DDoS,Enterprise,High,Threat Intelligence Platform
Pharmaceutical,1000,High,Yes,No,No,Yes,No,NERC-CIP,Privilege Escalation,High,High,NAC
Banking,5000,None,Yes,Yes,No,No,No,FISMA,API Attack,High,High,IAM
Oil & Gas,500,High,No,No,No,Yes,No,NERC-CIP,Web Application Attack,Enterprise,High,NAC
Hospitality,5000,Medium,Yes,No,No,Yes,No,SOX,Cryptojacking,Very Low,Critical,IAM
Healthcare,5000,Very High,Yes,Yes,Yes,Yes,No,PCI-DSS,APT,Low,Medium,SOC-as-a-Service
Retail,10000,Low,Yes,Yes,Yes,No,Yes,ISO27001,DDoS,Medium,Critical,PAM
Defense,100,Very High,No,Yes,Yes,No,Yes,CMMC,DDoS,Medium,Low,SOC-as-a-Service
Energy,500,None,No,Yes,Yes,No,Yes,IEC62443,APT,High,Critical,XDR Platform
Real Estate,500,Very High,Yes,No,No,Yes,No,FedRAMP,Business Email Compromise,Very Low,Medium,DLP Solution
Real Estate,10000,Medium,Yes,Yes,No,Yes,Yes,FISMA,Shadow IT,High,Low,XDR Platform
Media,10000,Low,No,No,Yes,Yes,No,IEC62443,Insider Threat,Medium,High,Vulnerability Management
Manufacturing,50,Medium,Yes,Yes,No,No,No,ISO27001,Cloud Security,Very Low,Medium,Data Encryption Platform
Government,10000,Low,No,No,No,No,No,SOC2,Zero-Day Exploit,Low,Medium,Cloud Security Platform
Manufacturing,5000,None,Yes,Yes,No,Yes,No,FedRAMP,Shadow IT,High,Critical,Security Awareness Training
Transportation,5000,Low,Yes,Yes,Yes,No,No,ISO27001,Zero-Day Exploit,Medium,Low,MDR Service
Retail,5000,Low,Yes,No,Yes,No,No,ISO27001,Ransomware,Very Low,Critical,Cloud Security Platform
Education,10000,Very High,No,No,Yes,Yes,No,ISO27001,Data Breach,Medium,Medium,Cloud Security Platform
Insurance,5000,High,No,Yes,No,Yes,Yes,SOC2,OT Attack,High,Low,Threat Intelligence Platform
Energy,250,High,No,Yes,Yes,Yes,No,NIST,Privilege Escalation,Low,Critical,ZTNA Solution
Telecommunications,10000,Low,Yes,Yes,Yes,Yes,Yes,COBIT,Cryptojacking,Very Low,Medium,Vulnerability Management
Defense,1000,High,Yes,No,Yes,Yes,Yes,SOC2,Nation-State Attack,Enterprise,Critical,PAM
Telecommunications,5000,Medium,No,No,Yes,No,Yes,COBIT,Malware,Very Low,Critical,Security Awareness Training
Pharmaceutical,250,Very High,Yes,Yes,No,Yes,Yes,HIPAA,Zero-Day Exploit,High,High,SOC-as-a-Service
Oil & Gas,1000,Low,No,Yes,No,Yes,Yes,HITRUST,Phishing,Low,High,Cloud Security Platform
Hospitality,50,None,Yes,No,No,No,Yes,HIPAA,DDoS,Very Low,Critical,CASB
Government,1000,Low,Yes,Yes,No,Yes,No,CMMC,Data Breach,Low,High,Data Encryption Platform
Healthcare,250,Medium,No,Yes,Yes,Yes,No,FISMA,DDoS,Very Low,High,IAM
Logistics,5000,High,No,Yes,No,Yes,No,FISMA,DDoS,High,Medium,SIEM Solution
Education,100,Low,No,No,Yes,No,No,FedRAMP,Supply Chain Attack,Very Low,Medium,MDR Service
Banking,10000,None,No,No,No,Yes,No,SOX,Business Email Compromise,Enterprise,Medium,CASB
Finance,2500,Low,Yes,No,Yes,No,Yes,CCPA,Business Email Compromise,Medium,Critical,Attack Surface Management
Logistics,2500,Low,Yes,No,Yes,Yes,No,COBIT,Nation-State Attack,Low,High,SOC-as-a-Service
Oil & Gas,2500,High,No,No,No,Yes,No,IEC62443,OT Attack,Enterprise,Critical,ZTNA Solution
Retail,1000,High,No,No,Yes,Yes,No,SOC2,APT,High,Low,Ransomware Protection
Education,5000,Medium,Yes,No,No,Yes,No,CCPA,Ransomware,Medium,Low,MDR Service
E-Commerce,50,Low,No,No,No,No,Yes,CCPA,Data Breach,Medium,Medium,IAM
Media,5000,High,Yes,No,No,Yes,Yes,COBIT,Web Application Attack,Very Low,Low,PAM
Oil & Gas,5000,None,Yes,No,No,No,Yes,SOC2,Ransomware,Very Low,High,MDR Service
Insurance,500,Very High,No,No,No,Yes,No,FedRAMP,IoT Attack,Enterprise,Critical,Security Awareness Training
Real Estate,500,Medium,Yes,No,Yes,Yes,No,ISO27001,API Attack,Medium,Medium,Data Encryption Platform
Telecommunications,10000,Low,Yes,No,No,No,No,HIPAA,Nation-State Attack,Low,Low,WAF
Real Estate,250,High,Yes,Yes,Yes,Yes,No,ISO27001,Business Email Compromise,Very Low,High,Ransomware Protection
Technology,50,None,No,No,Yes,No,No,CMMC,Data Breach,Enterprise,Low,CASB
Real Estate,1000,High,Yes,Yes,Yes,Yes,No,NIST,Privilege Escalation,High,High,Attack Surface Management
Media,2500,Medium,No,Yes,Yes,Yes,No,FISMA,API Attack,High,Low,Threat Intelligence Platform
Technology,1000,None,No,No,No,Yes,Yes,HIPAA,Privilege Escalation,Medium,Critical,CASB
Energy,1000,Low,No,No,No,Yes,Yes,GDPR,Malware,High,High,WAF
Retail,5000,Medium,No,Yes,No,No,No,COBIT,Credential Theft,High,Critical,SIEM Solution
Oil & Gas,50,Low,No,Yes,Yes,No,No,FISMA,Data Breach,Very Low,High,CASB
Telecommunications,250,Medium,No,Yes,Yes,No,No,HIPAA,Ransomware,Medium,High,PAM
Energy,2500,High,Yes,Yes,No,No,No,CMMC,Data Breach,Enterprise,Low,IAM
Retail,50,Medium,Yes,Yes,Yes,No,No,NERC-CIP,IoT Attack,High,Critical,Threat Intelligence Platform
Pharmaceutical,10000,High,Yes,No,No,No,No,SOC2,Phishing,High,Low,NAC
Healthcare,50,High,Yes,Yes,Yes,No,No,SOC2,Cloud Security,High,Critical,WAF
Insurance,1000,Medium,No,No,No,Yes,Yes,SOC2,API Attack,High,High,XDR Platform
Education,1000,Very High,Yes,No,No,Yes,Yes,COBIT,Nation-State Attack,Very Low,Low,Security Awareness Training
Manufacturing,100,None,No,Yes,No,Yes,Yes,FedRAMP,Supply Chain Attack,Very Low,Critical,MDR Service
Technology,100,Low,No,Yes,Yes,No,Yes,HIPAA,Credential Theft,High,High,SIEM Solution
Manufacturing,10000,Medium,Yes,No,Yes,Yes,Yes,NERC-CIP,Credential Theft,Enterprise,Medium,ZTNA Solution
Healthcare,100,Medium,No,Yes,Yes,No,Yes,SOX,Web Application Attack,Enterprise,Medium,EDR Platform
Energy,50,Medium,No,No,No,Yes,No,NERC-CIP,Cryptojacking,Low,Critical,SIEM Solution
Transportation,10000,None,Yes,No,Yes,No,Yes,ISO27001,Zero-Day Exploit,Enterprise,Critical,XDR Platform
Transportation,1000,Very High,Yes,Yes,No,No,Yes,FISMA,Cloud Security,Medium,High,Threat Intelligence Platform
Transportation,5000,Very High,No,No,No,Yes,No,PCI-DSS,Supply Chain Attack,High,High,Email Security Gateway
Healthcare,50,High,Yes,Yes,No,No,No,ISO27001,Zero-Day Exploit,Enterprise,Medium,NAC
Real Estate,5000,None,No,Yes,Yes,No,No,IEC62443,Phishing,Very Low,High,IAM
Retail,50,Low,No,Yes,No,Yes,No,FISMA,Supply Chain Attack,Enterprise,Low,PAM
Real Estate,500,High,No,Yes,No,Yes,Yes,ISO27001,Cryptojacking,High,Medium,Cloud Security Platform
Telecommunications,500,Very High,No,No,No,Yes,No,SOX,Insider Threat,Medium,High,MDR Service
Pharmaceutical,250,Low,Yes,Yes,No,No,Yes,IEC62443,Credential Theft,Medium,Critical,SOC-as-a-Service
Real Estate,1000,High,Yes,Yes,Yes,Yes,No,HITRUST,Insider Threat,Very Low,Medium,Threat Intelligence Platform
Insurance,2500,None,No,Yes,Yes,Yes,Yes,HIPAA,Insider Threat,High,High,Cloud Security Platform
Healthcare,100,High,Yes,No,No,No,No,FedRAMP,APT,High,High,XDR Platform
Government,100,High,No,No,No,No,No,SOX,Credential Theft,Very Low,High,IAM
Energy,500,Medium,Yes,No,Yes,Yes,Yes,NERC-CIP,Zero-Day Exploit,Enterprise,Critical,Security Awareness Training
Pharmaceutical,10000,Low,Yes,Yes,Yes,Yes,Yes,HITRUST,Zero-Day Exploit,Low,Medium,EDR Platform
Oil & Gas,5000,None,No,Yes,No,Yes,No,PCI-DSS,Business Email Compromise,Medium,Medium,SOC-as-a-Service
Manufacturing,1000,High,Yes,No,No,No,Yes,NIST,Phishing,Medium,Medium,SOC-as-a-Service
Retail,5000,Medium,Yes,No,No,Yes,Yes,ISO27001,APT,High,Medium,Security Awareness Training
Logistics,2500,None,Yes,No,Yes,No,Yes,NERC-CIP,Nation-State Attack,Medium,Medium,SOC-as-a-Service
Logistics,10000,Low,Yes,No,No,No,Yes,CMMC,Cryptojacking,High,High,XDR Platform
Technology,50,High,Yes,No,No,Yes,Yes,CCPA,Credential Theft,Enterprise,High,SOC-as-a-Service
Manufacturing,10000,High,Yes,Yes,Yes,Yes,Yes,IEC62443,Phishing,Very Low,Critical,XDR Platform
Defense,5000,High,Yes,No,No,Yes,Yes,CMMC,Nation-State Attack,Medium,Low,WAF
Telecommunications,2500,None,Yes,Yes,Yes,No,Yes,COBIT,Cloud Security,Low,High,PAM
Manufacturing,100,High,Yes,Yes,Yes,Yes,No,GDPR,Privilege Escalation,Enterprise,Critical,Attack Surface Management
Insurance,1000,Very High,No,Yes,No,Yes,No,COBIT,Privilege Escalation,High,Low,EDR Platform
Defense,1000,Very High,No,Yes,Yes,Yes,No,SOC2,Web Application Attack,High,Critical,MDR Service
Transportation,500,Medium,No,Yes,No,Yes,No,COBIT,Cloud Security,Enterprise,Medium,Data Encryption Platform
Media,2500,Very High,Yes,Yes,No,Yes,No,NIST,Business Email Compromise,High,Critical,ZTNA Solution
Technology,2500,High,Yes,No,Yes,No,No,GDPR,Web Application Attack,Low,High,PAM
Oil & Gas,500,None,Yes,No,Yes,No,No,ISO27001,API Attack,Very Low,Medium,ZTNA Solution
Healthcare,500,Low,Yes,Yes,No,No,Yes,FedRAMP,Shadow IT,Low,Critical,Cloud Security Platform
Education,5000,High,Yes,No,Yes,Yes,Yes,CMMC,Web Application Attack,Very Low,Low,MDR Service
Transportation,1000,Low,Yes,Yes,Yes,No,No,SOC2,IoT Attack,Medium,Medium,SIEM Solution
Hospitality,5000,Low,No,Yes,Yes,No,No,NERC-CIP,DDoS,High,Critical,NAC
E-Commerce,1000,High,Yes,No,Yes,No,No,HIPAA,Cloud Security,Low,Medium,Threat Intelligence Platform
Finance,250,Very High,Yes,Yes,No,No,Yes,HITRUST,OT Attack,High,Low,DLP Solution
Telecommunications,250,Low,Yes,Yes,Yes,Yes,Yes,FedRAMP,Phishing,Enterprise,Low,Ransomware Protection
Pharmaceutical,500,High,Yes,No,Yes,Yes,No,SOC2,Cryptojacking,Enterprise,Critical,Threat Intelligence Platform
Oil & Gas,500,Medium,No,Yes,Yes,Yes,No,CMMC,APT,Very Low,Critical,DLP Solution
Media,250,Low,Yes,No,No,Yes,No,CMMC,DDoS,Medium,Medium,PAM
Telecommunications,250,None,Yes,Yes,Yes,No,Yes,FedRAMP,API Attack,Very Low,Medium,Threat Intelligence Platform
Telecommunications,2500,Medium,Yes,Yes,No,No,No,SOX,Cryptojacking,High,Low,PAM
Healthcare,5000,None,No,Yes,No,Yes,No,NIST,Malware,Medium,Critical,ZTNA Solution
Education,100,None,Yes,Yes,Yes,No,Yes,COBIT,Supply Chain Attack,High,Low,Vulnerability Management
Transportation,50,Medium,Yes,No,Yes,Yes,No,COBIT,DDoS,Low,Critical,PAM
Real Estate,500,Very High,No,No,No,No,No,FedRAMP,IoT Attack,Medium,High,Ransomware Protection
Energy,250,Very High,Yes,No,No,No,No,HIPAA,Business Email Compromise,Enterprise,Critical,Attack Surface Management
Retail,100,Medium,No,No,No,No,No,PCI-DSS,Insider Threat,Low,Medium,SIEM Solution
Energy,10000,None,No,Yes,Yes,Yes,Yes,SOC2,Nation-State Attack,Enterprise,Critical,Ransomware Protection
Oil & Gas,10000,None,Yes,Yes,Yes,No,Yes,NERC-CIP,Phishing,Very Low,Critical,SIEM Solution
Education,50,Very High,No,Yes,Yes,Yes,No,GDPR,Zero-Day Exploit,Very Low,Low,EDR Platform
Oil & Gas,1000,None,Yes,No,No,Yes,Yes,SOC2,Insider Threat,Very Low,High,ZTNA Solution
Media,2500,Low,No,Yes,No,No,Yes,FISMA,Nation-State Attack,Low,High,Vulnerability Management
Insurance,10000,Low,Yes,Yes,Yes,No,Yes,SOC2,IoT Attack,Low,Low,Ransomware Protection
Logistics,250,Medium,No,Yes,Yes,Yes,No,HITRUST,Malware,High,Medium,Email Security Gateway
Retail,2500,Low,Yes,Yes,No,No,Yes,HIPAA,Privilege Escalation,Low,Medium,PAM
Media,5000,Low,No,No,No,No,Yes,IEC62443,Business Email Compromise,Very Low,Critical,Security Awareness Training
Education,250,Medium,Yes,Yes,Yes,No,No,FedRAMP,Ransomware,High,Critical,XDR Platform
E-Commerce,10000,High,Yes,No,No,Yes,No,NIST,APT,Medium,Critical,IAM
Media,10000,Low,Yes,Yes,Yes,Yes,No,CMMC,Zero-Day Exploit,High,Critical,SIEM Solution
Pharmaceutical,1000,Low,No,No,Yes,No,No,FedRAMP,Phishing,Low,Critical,WAF
Real Estate,1000,High,No,No,No,Yes,No,NIST,Supply Chain Attack,High,High,Data Encryption Platform
Education,500,Low,No,No,No,No,Yes,IEC62443,Data Breach,Very Low,Medium,Ransomware Protection
Transportation,10000,Low,No,No,Yes,Yes,Yes,ISO27001,DDoS,Low,High,Cloud Security Platform
Energy,500,Low,No,No,No,No,No,CCPA,IoT Attack,Very Low,Low,SOC-as-a-Service
Retail,100,High,No,No,No,Yes,Yes,COBIT,Supply Chain Attack,Very Low,Low,Vulnerability Management
Government,1000,Very High,No,No,Yes,No,Yes,CMMC,OT Attack,Very Low,Low,SOC-as-a-Service
Real Estate,2500,High,Yes,Yes,No,No,Yes,NERC-CIP,IoT Attack,High,Medium,NAC
Logistics,50,Low,No,Yes,No,Yes,Yes,SOX,Insider Threat,Very Low,High,CASB
Logistics,250,Very High,No,No,No,No,No,CCPA,Insider Threat,Very Low,High,Data Encryption Platform
Transportation,1000,None,No,No,No,Yes,No,CCPA,OT Attack,Low,Critical,SOC-as-a-Service
Retail,100,Low,No,No,No,No,Yes,SOC2,Zero-Day Exploit,Very Low,Low,SOC-as-a-Service
Technology,500,Low,No,No,No,Yes,Yes,IEC62443,Web Application Attack,High,High,Threat Intelligence Platform
Transportation,10000,None,Yes,No,Yes,No,No,FedRAMP,Phishing,Low,Low,WAF
Retail,250,High,No,No,No,Yes,No,PCI-DSS,Nation-State Attack,Very Low,Medium,DLP Solution
Logistics,1000,Very High,No,Yes,No,No,Yes,COBIT,Malware,Enterprise,Low,XDR Platform
Defense,100,Very High,No,No,No,Yes,No,CMMC,Phishing,Enterprise,Critical,IAM
Finance,5000,High,Yes,No,No,Yes,No,FedRAMP,Data Breach,High,Medium,Cloud Security Platform
Manufacturing,1000,Medium,No,No,Yes,Yes,No,CCPA,IoT Attack,Medium,Low,CASB
Hospitality,1000,Medium,Yes,No,Yes,Yes,Yes,IEC62443,Cloud Security,High,Medium,MDR Service
Defense,2500,Very High,Yes,Yes,No,No,Yes,FedRAMP,Ransomware,High,Medium,SIEM Solution
Logistics,1000,None,No,Yes,Yes,No,No,CCPA,Cryptojacking,Enterprise,High,NAC
Pharmaceutical,1000,Medium,Yes,No,No,No,Yes,CMMC,Privilege Escalation,Medium,High,CASB
Telecommunications,1000,Low,No,No,No,No,Yes,CCPA,OT Attack,Low,Low,Attack Surface Management
Healthcare,500,Low,No,Yes,Yes,Yes,Yes,CMMC,Business Email Compromise,Low,Medium,ZTNA Solution
Insurance,500,High,Yes,No,Yes,No,No,CMMC,APT,Low,Low,SIEM Solution
E-Commerce,10000,Low,No,Yes,Yes,Yes,Yes,FedRAMP,Malware,Medium,High,ZTNA Solution
Oil & Gas,500,Very High,No,No,Yes,No,Yes,CMMC,Cryptojacking,Enterprise,Medium,PAM
Oil & Gas,5000,Very High,Yes,Yes,No,Yes,Yes,NIST,Ransomware,Medium,Critical,SOC-as-a-Service
Technology,100,Low,No,Yes,Yes,No,Yes,ISO27001,Insider Threat,Very Low,Medium,CASB
Manufacturing,2500,High,Yes,No,Yes,Yes,Yes,IEC62443,API Attack,High,Low,CASB
Insurance,5000,None,Yes,Yes,No,No,No,SOC2,Shadow IT,High,Medium,Data Encryption Platform
Retail,50,High,No,No,No,Yes,No,PCI-DSS,Shadow IT,Low,Low,Ransomware Protection
Logistics,50,None,No,Yes,No,No,No,CCPA,Shadow IT,Low,Medium,Threat Intelligence Platform
Telecommunications,250,None,No,No,Yes,No,No,SOX,Data Breach,High,Medium,PAM
Manufacturing,10000,Low,No,No,Yes,No,Yes,FISMA,IoT Attack,High,Medium,XDR Platform
Retail,500,Very High,No,No,Yes,No,Yes,HITRUST,Insider Threat,Low,High,Ransomware Protection
Logistics,2500,High,No,No,Yes,No,No,FedRAMP,Data Breach,Very Low,Low,WAF
Logistics,500,Very High,Yes,Yes,No,No,No,SOX,Phishing,High,Low,Email Security Gateway
Technology,10000,None,No,No,No,No,No,NERC-CIP,Shadow IT,High,Medium,CASB
Education,100,None,No,Yes,Yes,Yes,Yes,SOC2,Phishing,High,Low,EDR Platform
Insurance,10000,Very High,Yes,No,No,Yes,No,IEC62443,Web Application Attack,Medium,Low,WAF
Healthcare,5000,Very High,No,Yes,No,Yes,No,FISMA,Insider Threat,Medium,High,Vulnerability Management
Real Estate,250,High,Yes,No,Yes,No,No,ISO27001,Ransomware,High,Critical,XDR Platform
E-Commerce,500,Low,Yes,No,No,No,No,CCPA,Malware,Low,Low,Data Encryption Platform
Retail,10000,Very High,No,Yes,No,Yes,No,SOX,DDoS,Enterprise,Critical,Ransomware Protection
Hospitality,500,Low,Yes,No,Yes,No,No,FISMA,Privilege Escalation,Very Low,High,WAF
Hospitality,50,Very High,Yes,No,No,No,Yes,GDPR,Business Email Compromise,High,Critical,Cloud Security Platform
Transportation,10000,Very High,No,No,Yes,No,No,CCPA,Cryptojacking,Enterprise,Low,CASB
Manufacturing,2500,Very High,No,Yes,No,No,No,SOX,Business Email Compromise,Medium,Low,EDR Platform
Media,50,Low,No,No,Yes,Yes,Yes,HITRUST,Shadow IT,Enterprise,Low,ZTNA Solution
Education,100,None,Yes,No,Yes,No,Yes,ISO27001,Nation-State Attack,Low,High,IAM
Real Estate,10000,Medium,No,Yes,No,No,Yes,COBIT,Cloud Security,Medium,Medium,Data Encryption Platform
Manufacturing,10000,None,No,Yes,No,No,Yes,SOC2,Cloud Security,Enterprise,Medium,Attack Surface Management
Retail,100,Low,Yes,No,Yes,No,No,SOC2,Cryptojacking,Very Low,Low,PAM
Healthcare,10000,Very High,No,No,No,Yes,No,COBIT,Zero-Day Exploit,Medium,Critical,CASB
Banking,250,None,No,Yes,No,Yes,No,COBIT,Phishing,Low,Low,ZTNA Solution
Manufacturing,10000,High,Yes,No,No,Yes,Yes,FISMA,Zero-Day Exploit,Low,Low,Data Encryption Platform
E-Commerce,1000,Very High,No,No,Yes,No,No,HITRUST,Phishing,Medium,High,Cloud Security Platform
Finance,10000,High,No,No,No,Yes,Yes,NIST,Ransomware,Low,High,Attack Surface Management
E-Commerce,50,None,Yes,Yes,No,Yes,No,NERC-CIP,APT,Medium,Medium,EDR Platform
Telecommunications,10000,None,Yes,No,Yes,Yes,Yes,SOX,Phishing,Medium,Medium,CASB
Retail,100,None,Yes,Yes,Yes,No,No,SOC2,Cryptojacking,Very Low,Low,Attack Surface Management
Real Estate,250,Low,Yes,Yes,Yes,Yes,No,FedRAMP,Business Email Compromise,Enterprise,Low,MDR Service
Logistics,250,Low,Yes,No,No,No,No,FedRAMP,Malware,High,Critical,Ransomware Protection
Retail,5000,None,Yes,Yes,Yes,No,No,ISO27001,Web Application Attack,High,Low,DLP Solution
Pharmaceutical,2500,High,Yes,No,No,No,No,CCPA,Cryptojacking,Enterprise,Medium,EDR Platform
Oil & Gas,2500,High,Yes,Yes,Yes,Yes,No,SOC2,IoT Attack,Enterprise,Medium,WAF
Transportation,50,Medium,No,No,No,Yes,Yes,FISMA,OT Attack,Medium,Low,ZTNA Solution
Technology,500,Low,Yes,Yes,Yes,No,Yes,CCPA,Ransomware,Medium,Medium,IAM
Transportation,500,High,No,Yes,No,No,No,COBIT,Ransomware,Enterprise,Low,Threat Intelligence Platform
Pharmaceutical,2500,None,Yes,Yes,Yes,No,Yes,COBIT,APT,High,Critical,SIEM Solution
Banking,100,High,Yes,No,Yes,No,Yes,HIPAA,IoT Attack,Low,Medium,IAM
Retail,250,Very High,No,Yes,Yes,No,No,COBIT,OT Attack,Enterprise,Critical,Data Encryption Platform
Oil & Gas,5000,High,Yes,Yes,Yes,Yes,No,SOX,Supply Chain Attack,Enterprise,Medium,PAM
Manufacturing,250,None,Yes,Yes,No,Yes,No,SOX,Supply Chain Attack,Low,Low,NAC
Oil & Gas,50,High,No,No,Yes,No,Yes,FedRAMP,Insider Threat,Medium,High,Data Encryption Platform
